0,0,-2.889388635,5,0
-1.244127071,-0.3234353399,-2.882975043,5.080026805,0
-2.505570077,-0.659744184,-2.879097123,5.401179342,0
-3.843282215,-1.021645856,-2.812227098,5.713455626,0.01704663055
-5.228539423,-1.495151576,-2.812141948,6.016835761,0.01524876388
-6.68552339,-1.993310021,-2.812162005,6.31131975,1.408911513e-05
-8.212179269,-2.51525663,-2.812162047,6.596907591,-4.153452708e-06
-9.80639288,-3.060300401,-2.812162042,6.873599284,-7.324888391e-09
-11.46605975,-3.627721918,-2.812162042,7.14139483,8.529222726e-10
-13.18907545,-4.216801688,-2.812162042,7.400294229,1.959382079e-12
-14.97333553,-4.826820226,-2.812162042,7.65029748,-1.022851585e-13
-16.81673555,-5.457058046,-2.812162042,7.391404579,9.11023329e-14
-18.59889272,-6.066357624,-2.812162042,7.12361553,-9.933196489e-14
-20.31770261,-6.653999474,-2.812162042,6.846930334,3.739852575e-12
-21.97106077,-7.219264111,-2.812162042,6.56134899,1.458195608e-09
-23.55686275,-7.761432049,-2.812162035,6.266871499,-1.262495646e-08
-25.07300411,-8.279783814,-2.812162106,5.963497861,-6.662630231e-06
-26.51738045,-8.773599808,-2.812194054,5.651228075,2.256818574e-05
-27.88790189,-9.242117941,-2.812058737,5.330062141,0
-29.18239021,-9.68483448,-2.713609883,5,0
